height,weight,sex,eyes,hair,race,age,city,state
5ft_6in,110,M,BLUE,GRAY OR PARTIALLY GRAY,W,73,COLUMBIA,MO
6ft_2in,275,M,BLUE,BLOND OR STRAWBERRY,W,32,COLUMBIA,MO
6ft_8in,220,M,BLUE,GRAY OR PARTIALLY GRAY,W,51,COLUMBIA,MO
5ft_1_in,190,M,BLUE,BROWN,W,31,COLUMBIA,MO
5ft_1_in,170,M,BROWN,BLACK,B,32,COLUMBIA,MO
5ft_7in,130,M,BROWN,BLACK,B,24,COLUMBIA,MO
5ft_1_in,140,M,BROWN,BLACK,B,48,COLUMBIA,MO
5ft_9in,228,M,HAZEL,BROWN,W,39,COLUMBIA,MO
5ft_1_in,180,M,BROWN,BLACK,B,20,ASHLAND,MO
6ft_in,170,M,GREEN,BROWN,W,44,BLUE_SPRINGS,MO
5ft_7in,255,F,BROWN,BROWN,W,32,SAINT_LOUIS,MO
5ft_9in,185,M,BROWN,BLACK,B,30,COLUMBIA,MO
6ft_in,175,M,BROWN,BROWN,B,23,COLUMBIA,MO
5ft_6in,165,M,BROWN,BLOND OR STRAWBERRY,W,19,COLUMBIA,MO
5ft_11in,300,M,BROWN,BLACK,W,50,HOLTSUMMIT,MO
5ft_5in,150,F,BROWN,BLACK,B,29,ST_LOUIS,MO
6ft_4in,158,M,GREEN,BROWN,W,52,COLUMBIA,MO
,,M,,,B,21,COLUMBIA,MO
5ft_6in,185,M,BROWN,BLACK,U,32,COLUMBIA,MO
5ft_11in,136,M,BROWN,BLACK,B,19,COLUMBIA,MO
6ft_in,175,M,HAZEL,BROWN,W,44,COLUMBIA,MO
5ft_7in,160,M,BROWN,BLACK,B,25,COLUMBIA,MO
6ft_in,175,M,BROWN,BLACK,B,30,COLUMBIA,MO
5ft_11in,146,M,BROWN,BLACK,B,19,COLUMBIA,MO
6ft_in,200,M,BROWN,BROWN,W,39,HARRISBURG,MO
6ft_in,198,M,BROWN,BLACK,B,22,COLUMBIA,MO
6ft_in,170,M,BROWN,BALD,B,32,COLUMBIA,MO
5ft_6in,165,M,HAZEL,BROWN,W,20,COLUMBIA,MO
5ft_7in,220,F,BLUE,RED OR AUBURN,W,39,COLUMBIA,MO
6ft_2in,220,M,BLUE,BLOND OR STRAWBERRY,W,39,FULTON,MO
5ft_11in,220,M,BROWN,BLACK,B,35,COLUMBIA,MO
5ft_7in,135,F,BROWN,BROWN,W,35,COLUMBIA,MO
5ft_1_in,200,M,BROWN,BROWN,W,31,COLUMBIA,MO
5ft_in,220,F,HAZEL,BLOND OR STRAWBERRY,W,31,COLUMBIA,MO
5ft_1_in,210,M,BROWN,BROWN,W,60,COLUMBIA,MO
5ft_9in,145,M,,,BROWN,BLACK,B,25
6ft_1in,140,M,BROWN,BLACK,B,25,EAST_ST_LOUIS,MO
5ft_8in,155,M,BROWN,BROWN,W,31,FULTON,MO
5ft_11in,160,M,BROWN,BLACK,B,28,COLUMBIA,MO
5ft_6in,165,M,HAZEL,BROWN,W,37,COLUMBIA,MO
5ft_6in,170,M,BROWN,BLACK,B,22,COLUMBIA,MO
5ft_1_in,140,M,HAZEL,BROWN,W,36,JEFFERSON_CITY,MO
6ft_in,300,M,BROWN,BLACK,B,27,COLUMBIA,MO
6ft_in,175,M,WHITE,,W,51,ST._JOSEPH,MO
5ft_11in,200,M,BROWN,BLACK,W,37,COLUMBIA,MO
5ft_6in,230,M,BLUE,GRAY OR PARTIALLY GRAY,W,60,FULTON,MO
5ft_6in,160,M,BROWN,BLACK,U,30,COLUMBIA,MO
5ft_7in,177,M,HAZEL,BROWN,W,34,COLUMBIA,MO
5ft_2in,120,F,BROWN,BLACK,B,39,COLUMBIA,MO
5ft_2in,150,M,BLUE,BLOND OR STRAWBERRY,W,39,BOONEVILLE,MO
5ft_11in,165,M,GREEN,BROWN,W,56,MOKANE,MO
5ft_6in,135,M,BROWN,GRAY OR PARTIALLY GRAY,B,54,COLUMBIA,MO
6ft_in,132,M,BLUE,BROWN,W,31,DENVER,CO
5ft_5in,135,F,BROWN,BROWN,W,33,COLUMBIA,MO
6ft_in,144,M,BROWN,BLACK,B,19,COLUMBIA,MO
5ft_6in,160,M,BROWN,BLACK,B,26,COLUMBIA,MO
5ft_8in,205,M,BROWN,BROWN,W,42,COLUMBIA,MO
6ft_1in,225,M,GREEN,BROWN,W,31,COLUMBIA,MO
5ft_9in,170,M,BROWN,BLACK,B,34,COLUMBIA,MO
6ft_1in,190,M,BROWN,BLACK,B,30,COLUMBIA,MO
6ft_in,180,M,BROWN,BALD,B,47,COLUMBIA,MO
5ft_8in,180,M,BROWN,BLACK,B,33,JEFFERSON_CITY,MO
5ft_11in,160,M,BROWN,BLACK,B,24,COLUMBIA,MO
5ft_7in,140,M,BROWN,BLACK,B,24,COLUMBIA,MO
6ft_1in,155,M,BROWN,BLACK,B,18,COLUMBIA,MO
6ft_in,175,M,BLUE,BROWN,W,35,COLUMBIA,MO
5ft_1_in,215,M,BROWN,BALD,B,48,COLUMBIA,MO
6ft_3in,300,M,BROWN,BROWN,W,34,COLUMBIA,MO
5ft_11in,207,M,GREEN,BROWN,W,50,ASHLAND,MO
