case #,charge_description,charge_status,bail_amount,bond_type,court_date,court_time,court_of_jurisdiction
20ba-cr01497,violation_of_order_of_protection_for_adult_-_1st_ofns,,.00,nobd,06/25/2020,14:00,d03
20ba-cr00749,terrorist_threat_-_2nd_degree,,"100,000.00",c/s,06/11/2020,09:00,
19ba-cr01374,bond_rev_-_fta_stealing,,"1,000.00",c/s,04/30/2020,14:00,
19ba-cr05508,assault_1st_degree_or_attempt,,.00,nobd,06/25/2020,14:00,d09
19ba-cr05508,domestic_assault_1st_degree_-_1st_offense,,.00,nobd,06/25/2020,14:00,
19ba-cr05508,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,.00,nobd,06/25/2020,14:00,
19ba-cr04487,dwi_-_habitual,,"25,000.00",cash,03/09/2020,13:30,d09
19ba-cr02530-01,domestic_assault_-_2nd_degree,,"4,500.00",c/s,02/10/2020,13:30,d01
19ba-cr03177-01,assault_-_3rd_degree_-_special_victim,,"4,500.00",c/s,02/10/2020,13:30,d01
19ba-cr03621,"assault_-_4th_degree_-_pursuant_to_subdivisions_(3),_(6)_-_s",,"10,000.00",c/s,02/10/2020,13:30,d01
365781839,immigration_detainer_(jail),,.00,nobd,,,fed
20ba-cr01638,"assault_4th_deg_-_pursuant_to_subdivision_(1),_(5)",,.00,c/s,05/12/2020,13:00,
20ba-cr01638,trespass_-_1st_degree,,.00,c/s,05/12/2020,13:00,
20ba-cr01638,property_damage_1st_degree,,"2,000.00",c/s,05/12/2020,13:00,
20ba-cr00550,fojo_:_forgery_x4_/_financial_exploitation_of_an_elder_/_fra,,"50,000.00",c/s,04/23/2020,09:00,d09
20ba-cr00710,stealing_-_$750_or_more,,"5,000.00",cash,04/23/2020,09:00,
1110164,parole_violation_(dangerous_drugs),,.00,nobd,,,
on-view,tampering_with_motor_vehicle_-_1st_degree,,"4,500.00",c/s,05/11/2020,13:30,d07
6m-19-00653-mo,muni_::_trespass_1st,,400.00,c/s,,,muni
19ba-cr05402,fta_::_stealing_/_trespassing,,250.00,c/s,05/11/2020,13:30,d09
onview,possession_of_controlled_substance_except_35_grams_or_less_o,,"4,500.00",c/s,05/11/2020,13:30,
6m-19-00920-mo,muni/cpd/stealing,,250.00,c/s,,,muni
20ba-cr01597,assault_-_3rd_degree_-_special_victim,,.00,nobd,05/27/2020,09:00,
20ba-cr01597,escape_or_attempted_escape_from_custody_while_under_arrest_f,,.00,nobd,05/27/2020,09:00,
20ba-cr01214,child_kidnapping,,"20,000.00",cash,05/12/2020,13:00,d09
20ba-cr01214,tampering_with_motor_vehicle_-_1st_degree,,.00,cash,05/12/2020,13:00,
19ba-cr04670-01,armed_criminal_action,,"100,000.00",cash,03/16/2020,09:00,
19ba-cr04670-01,murder_2nd_degree,,"100,000.00",cash,03/16/2020,09:00,
19ba-cr04492,sexual_misconduct_-_1st_degree_-_1st_offense,,"2,500.00",c/s,06/30/2020,13:00,
19ba-cr04195-01,assault_-_2nd_degree,,"50,000.00",cash,01/21/2020,09:00,d09
19ba-cr04195-01,property_damage_1st_degree,,"50,000.00",cash,01/21/2020,09:00,d09
19ba-cr04195-01,unlawful_use_of_weapon_-_subsection_5_-_while_intoxicated_-,,"50,000.00",cash,01/21/2020,09:00,d09
19ba-cr04195-01,armed_criminal_action,,"100,000.00",cash,11/18/2019,09:00,d09
19ba-cr04004-01,bond_revocation_(jail)/assault_4th/pcs,,"5,000.00",c/s,11/06/2019,13:30,d09
19ba-cr03999-01,bond_revocation_(jail)/burg_1st,,"20,000.00",c/s,11/06/2019,13:30,d09
17ba-cr02092,bond_revocation_(jail)/dwr,,"3,000.00",c/s,06/30/2020,13:00,d01
200244,lincoln/prob-dom_aslt_3rd,,.00,nobd,,,
20ba-cr00825,assault_1st_degree_or_attempt,,"50,000.00",cash,04/30/2020,14:00,
20ba-cr00825,property_damage_2nd_degree,,.00,cash,04/30/2020,14:00,
19ba-cr00851-01,"ftojo_(burglary_2nd,_assault_4th_x2,_prop_dmg_1st)",,"5,000.00",cash,06/01/2020,09:00,
18ba-cr04451-01,possession_of_controlled_substance_except_35_grams_or_less_o,,"5,000.00",c/s,05/11/2020,13:30,
18ba-cr04451-01,resisting_or_interfering_with_arrest/detention/stop,,"5,000.00",c/s,05/11/2020,13:30,
18ba-cr04451-01,possession_of_marijuana/synthetic_cannabinoid_of_10_grams_or,,"5,000.00",c/s,05/11/2020,13:30,
19ba-cr00532-01,statutory_sodomy_or_attempted_statutory_sodomy_-_deviate_sex,,"75,000.00",cash,05/11/2020,13:30,
19ba-cr00532-01,resisting/interfering_with_arrest_for_a_felony,,"25,000.00",cash,05/11/2020,13:30,
14ba-cr04423-01,"prob_viol:_burg_1st,_burg_2nd",,"30,000.00",c/s,05/29/2020,13:30,d03
19ba-cr04586-01,burglary_1st_degree,,.00,nobd,03/02/2020,13:30,
19ba-cr04586-01,stealing_-_firearm/explosive_weapon/ammonium_nitrate,,.00,nobd,03/02/2020,09:00,
19ba-cr04586-01,stealing_-_$750_or_more,,.00,nobd,03/02/2020,09:00,
16-04043-01-cr-,us_marshal_hold_(jail),,.00,nobd,,,
180516948,ooc:boonville_pd/fta:_speed,,150.00,cash,11/18/2019,09:00,oth
19ba-cr04586-01,burglary_-_2nd_degree,,.00,nobd,03/02/2020,09:00,
19ba-cr04586-01,possession_of_controlled_substance_except_35_grams_or_less_o,,.00,nobd,03/02/2020,09:00,
19ba-cr04586-01,unlawful_possession_of_a_firearm,,.00,nobd,03/02/2020,09:00,
19ba-cr04586,receiving_stolen_property,,.00,nobd,02/04/2020,13:30,
14ba-cr02373-01,"probation_viol:_poss_cont_sub,resisting",,"5,000.00",cash,06/19/2020,13:30,
19ba-cr03802-01,rape_or_attmpt_rape-1st_deg,,.00,nobd,02/18/2020,13:30,d02
on_view,domestic_assault_1st_degree-serious_physical_injury,,.00,nobd,10/15/2019,13:30,d02
19ba-cr03802-01,kidnapping_-_1st_degree,,.00,nobd,02/18/2020,13:30,d02
19ba-cr03802-01,rape_or_attempted_rape_-_1st_degree_-_aggravated_sexual_offe,,.00,nobd,02/18/2020,13:30,d02
19ba-cr03802-01,sodomy_or_attempted_sodomy_-_1st_degree,,.00,nobd,10/15/2019,13:30,d02
on_view,endangering_the_welfare_of_a_child_creating_substantial_risk,,.00,nobd,10/15/2019,13:30,d02
on_view,armed_criminal_action,,.00,nobd,10/15/2019,13:30,d02
on_view,tampering_with_physical_evidence_in_felony_prosecution,,.00,nobd,10/15/2019,13:30,d02
702749349,out_of_county_warrant_(jail),,.00,c/s,,,oth
18ba-cr04237-01,stealing_-_firearm/explosive_weapon/ammonium_nitrate,,"25,000.00",cash,03/20/2020,10:30,d04
18ba-cr04237-01,possession_of_controlled_substance_except_35_grams_or_less_o,,"25,000.00",cash,03/20/2020,10:30,d04
18ba-cr04237-01,unlawful_possession_of_a_firearm,,"100,000.00",cash,03/20/2020,10:30,d04
19ba-cr00973-01,delivery_of_controlled_substance_except_35_grams_or_less_of,,"75,000.00",cash,03/20/2020,10:30,d04
19ba-cr00973-01,unlawful_possession_of_a_firearm,,"25,000.00",cash,03/20/2020,10:30,d04
18a-cr04237-01,discharge/shoot_firearm_at_or_from_motor_vehicle,,"100,000.00",cash,03/20/2020,10:30,d04
19ba-cr04980,statutory_sodomy_or_attempted_statutory_sodomy_-_deviate_sex,,.00,nobd,06/10/2020,13:30,d05
19ba-cr02157-01,"fta:_unlwfl_poss_f/a,_resisting,_poss_marij",,"10,000.00",cash,12/23/2019,13:30,d01
w50651509,ooc/stl_co_pd/prob_viol:_stolen_vehicle,,250.00,cash,,,oth
19ba-cr03851-01,assault_1st_degree_-_serious_physical_injury_spec_victim,,.00,nobd,01/14/2020,08:15,d05
19ba-cr03851-01,armed_criminal_action,,.00,nobd,01/13/2020,13:30,d05
20ba-cr01462,possession_of_controlled_substance_except_35_grams_or_less_o,,"1,000.00",c/s,04/23/2020,13:30,d05
19ba-cr03782-01,"prob_viol:_burglary_2nd,_tamper_w/mtr_veh_1st",,"10,000.00",cash,05/26/2020,13:30,d01
17ba-cr03708-01,prob_viol:_stealing_$750_or_more_(3_counts),,"10,000.00",cash,05/26/2020,13:30,d01
19accr02470,ooc_warrant_-_cole_co_-_fta:_stealing,,.00,nobd,,,
not_filed,domestic_assault_2nd_deg,not_filed,.00,nobd,01/07/2020,13:30,
20ba-cr00075-01,domestic_assault_2nd_deg,,.00,c/s,03/05/2020,14:00,
20ba-cr00075-01,domestic_assault_2nd_deg,,.00,c/s,03/05/2020,14:00,
20ba-cr00075-01,armed_criminal_action,,"20,000.00",c/s,03/05/2020,14:00,
20ba-cr01745,"assault_4th_deg_-_pursuant_to_subdivision_(1),_(5)",,"2,500.00",c/s,05/20/2020,09:00,
19ba-cr03280-01,statutory_rape/attempt_stat_rape_-_1st_degree_-_less_14_yoa,,"100,000.00",cash,10/10/2019,14:00,d05
