case #,charge_description,charge_status,bail_amount,bond_type,court_date,court_time,court_of_jurisdiction
19ba-cr04747-01,delivery_of_controlled_substance_except_35_grams_or_less_of,,"50,000.00",cash,03/12/2020,13:30,
18ba-cr01249,armed_criminal_action,,"100,000.00",cash,03/25/2020,13:30,d05
18ba-cr01249,assault_1st_degree_-_serious_physical_injury_spec_victim,,"150,000.00",cash,03/25/2020,13:30,d05
not_filed,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,not_filed,.00,c/s,,,
18ba-cr01136,stat_sodmy-1st-dev_sex_intr_w/prs_<_14-ser_phy_inj/dspl_dead,,"25,000.00",cash,04/16/2020,13:30,
16cocr0052401,ooc/cooper/probation_violation,,"4,500.00",cash,02/24/2020,09:00,
18ba-cr02294-01,burglary_-_2nd_degree,,"10,000.00",c/s,05/04/2020,13:30,
17ba-cro2613-01,"prob_viol:_dwr/dws,_resisting",,"5,000.00",cash,05/22/2020,13:30,d04
16ba-cro2804-01,prob_viol:_non-support,,"5,000.00",cash,05/22/2020,13:30,d04
19ba-cro4974-01,fta/forgery,,"1,000.00",c/s,05/04/2020,13:30,d11
18ba-cr02294-01,stealing,,"10,000.00",c/s,05/04/2020,13:30,d11
18ba-cr02294,property_damage_2nd_degree,,"10,000.00",c/s,03/20/2020,13:30,d11
20ba-cr00698-01,murder_1st_degree,,.00,nobd,03/02/2020,13:30,
19ba-cr04782,endangering_the_welfare_of_a_child_creating_substantial_risk,,"200,000.00",cash,06/06/2020,13:03,
19ba-cr04782-01,endangering_the_welfare_of_a_child_creating_substantial_risk,,"100,000.00",cash,05/26/2020,13:30,d01
19ba-cr04782-01,abuse_or_neglect_of_a_child_under_section_568.060.5(1),,"200,000.00",cash,06/06/2020,13:30,
19ba-cr03781-01,assault_1st_degree_or_attempt,,.00,nobd,05/11/2020,13:30,d05
not_filed,unlawful_possession_of_a_firearm,not_filed,.00,c/s,,,
19ba-cr03781-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,.00,nobd,05/11/2020,13:30,d05
19ba-cr03781-01,armed_criminal_action,,.00,nobd,05/11/2020,13:30,d05
19ba-cr03781-01,tampering_with_physical_evidence_in_felony_prosecution,,.00,nobd,05/11/2020,13:30,d05
19ba-cr00828,murder_2nd_degree_-_felony_murder_-_during_perpetration/atte,,"500,000.00",cash,05/11/2020,13:30,
